,Animal Presence,Baker's wife,Barrington Ballet,Beckwhith's Glass,Berkshire Child ,Berkshire Coffee,Berkshire Craft,Berkshire Cupboard,Bill's Pharmacy,Byzantium,Cabinet Works,Caligari's,Captain Toss,Carr Bros HDWE,Castle St. Café,Harry Conklin,Crystal Essence,Daily Bread,decades,Diva,Dolby Florist,EverGreen,Farshaw's,Frames on Wheels,Galeria Arriba,Gans Appliance,Gatby's,Gorham & Norton,Harland Foster,Herbert's Shoes,Home Textures,Impoco's Video,Initially Yours,Inn at Green River,Jack's,Jillifers,Jodi's,Kahn's,Krol Jewelers,La Tomate,Lamplighter,Laramee Cleaners,Leatherwoods,Main st Clothing,Manhattan Pizza,Mamphis Hair,Mill River Studio,Monument Mt
Animal Presence,7,0,0,0,11,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,9,0,0,0,0,0,0,0
Baker's wife,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0
Barrington Ballet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beckwhith's Glass,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkshire Child,0,0,4,0,458,0,0,0,0,24,0,2,10,4,3,0,27,1,0,0,0,45,5,15,0,12,5,2,9,49,0,0,0,0,27,0,0,0,34,3,8,0,0,7,3,0,0,0
Berkshire Coffee,0,1,0,0,1,15,0,0,0,3,0,0,0,9,4,2,7,3,0,0,0,6,0,15,0,0,15,8,4,4,0,0,0,0,28,1,0,2,1,4,8,1,1,1,1,1,0,0
Berkshire Craft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkshire Cupboard,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill's Pharmacy,0,1,0,0,2,2,0,0,5,7,0,4,2,91,6,0,7,3,0,0,0,6,1,55,0,1,0,0,0,11,0,0,0,0,23,0,0,0,12,0,1,2,0,11,0,0,0,0
Byzantium,0,0,0,0,13,0,0,0,0,48,0,3,5,0,2,10,0,4,6,0,0,16,0,0,0,0,12,0,2,6,0,0,0,0,5,0,0,29,0,0,4,6,0,10,0,1,0,0
Cabinet Works,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caligari's,0,0,0,0,0,0,0,2,0,0,0,19,4,10,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,28,0,0,0,0,0,0,0
Captain Toss,0,0,0,0,7,0,0,1,1,0,0,40,42,9,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,3,0,0,0,0,0,0
